NAME,S1903_C03_001E,state,county,tract
Census Tract 3302; Cook County; Illinois,128000,17,031,330200
Census Tract 3403; Cook County; Illinois,47519,17,031,340300
Census Tract 3404; Cook County; Illinois,49309,17,031,340400
Census Tract 3405; Cook County; Illinois,57720,17,031,340500
Census Tract 3406; Cook County; Illinois,19348,17,031,340600
Census Tract 3501; Cook County; Illinois,61620,17,031,350100
Census Tract 3504; Cook County; Illinois,22292,17,031,350400
Census Tract 3510; Cook County; Illinois,54688,17,031,351000
Census Tract 3511; Cook County; Illinois,18220,17,031,351100
Census Tract 3514; Cook County; Illinois,-666666666,17,031,351400
Census Tract 3515; Cook County; Illinois,63235,17,031,351500
Census Tract 3602; Cook County; Illinois,26638,17,031,360200
Census Tract 3801; Cook County; Illinois,-666666666,17,031,380100
Census Tract 3802; Cook County; Illinois,25167,17,031,380200
Census Tract 3806; Cook County; Illinois,25455,17,031,380600
Census Tract 3812; Cook County; Illinois,44757,17,031,381200
Census Tract 3814; Cook County; Illinois,34300,17,031,381400
Census Tract 3815; Cook County; Illinois,23288,17,031,381500
Census Tract 3817; Cook County; Illinois,-666666666,17,031,381700
Census Tract 3818; Cook County; Illinois,46813,17,031,381800
Census Tract 3819; Cook County; Illinois,58803,17,031,381900
Census Tract 3901; Cook County; Illinois,65833,17,031,390100
Census Tract 3902; Cook County; Illinois,104441,17,031,390200
Census Tract 3903; Cook County; Illinois,19475,17,031,390300
Census Tract 3904; Cook County; Illinois,27232,17,031,390400
Census Tract 3905; Cook County; Illinois,58194,17,031,390500
Census Tract 3906; Cook County; Illinois,76806,17,031,390600
Census Tract 3907; Cook County; Illinois,67832,17,031,390700
Census Tract 4003; Cook County; Illinois,84293,17,031,400300
Census Tract 4004; Cook County; Illinois,40066,17,031,400400
Census Tract 4005; Cook County; Illinois,22463,17,031,400500
Census Tract 4008; Cook County; Illinois,21029,17,031,400800
Census Tract 4101; Cook County; Illinois,51471,17,031,410100
Census Tract 4102; Cook County; Illinois,51739,17,031,410200
Census Tract 4105; Cook County; Illinois,70833,17,031,410500
Census Tract 4106; Cook County; Illinois,39461,17,031,410600
Census Tract 4107; Cook County; Illinois,45972,17,031,410700
Census Tract 4108; Cook County; Illinois,58396,17,031,410800
Census Tract 4109; Cook County; Illinois,71315,17,031,410900
Census Tract 4110; Cook County; Illinois,52596,17,031,411000
Census Tract 4111; Cook County; Illinois,123750,17,031,411100
Census Tract 4112; Cook County; Illinois,111058,17,031,411200
Census Tract 4201; Cook County; Illinois,21275,17,031,420100
Census Tract 4202; Cook County; Illinois,30461,17,031,420200
Census Tract 4203; Cook County; Illinois,38583,17,031,420300
Census Tract 4204; Cook County; Illinois,32938,17,031,420400
Census Tract 4205; Cook County; Illinois,25298,17,031,420500
Census Tract 4206; Cook County; Illinois,34643,17,031,420600
Census Tract 4207; Cook County; Illinois,24785,17,031,420700
Census Tract 4208; Cook County; Illinois,44375,17,031,420800
Census Tract 4212; Cook County; Illinois,41910,17,031,421200
Census Tract 4301.01; Cook County; Illinois,32264,17,031,430101
Census Tract 4301.02; Cook County; Illinois,50625,17,031,430102
Census Tract 4302; Cook County; Illinois,33183,17,031,430200
Census Tract 4303; Cook County; Illinois,36467,17,031,430300
Census Tract 4304; Cook County; Illinois,36917,17,031,430400
Census Tract 4305; Cook County; Illinois,28528,17,031,430500
Census Tract 4306; Cook County; Illinois,54375,17,031,430600
Census Tract 4307; Cook County; Illinois,30561,17,031,430700
Census Tract 4308; Cook County; Illinois,45221,17,031,430800
Census Tract 4309; Cook County; Illinois,38173,17,031,430900
Census Tract 4312; Cook County; Illinois,57845,17,031,431200
Census Tract 4313.01; Cook County; Illinois,36867,17,031,431301
Census Tract 4313.02; Cook County; Illinois,32031,17,031,431302
Census Tract 4314; Cook County; Illinois,37122,17,031,431400
Census Tract 4401.01; Cook County; Illinois,28877,17,031,440101
Census Tract 4401.02; Cook County; Illinois,40565,17,031,440102
Census Tract 4402.01; Cook County; Illinois,34355,17,031,440201
Census Tract 4402.02; Cook County; Illinois,31537,17,031,440202
Census Tract 4403; Cook County; Illinois,46747,17,031,440300
Census Tract 4406; Cook County; Illinois,58631,17,031,440600
Census Tract 4407; Cook County; Illinois,77300,17,031,440700
Census Tract 4408; Cook County; Illinois,35292,17,031,440800
Census Tract 4409; Cook County; Illinois,39730,17,031,440900
Census Tract 4503; Cook County; Illinois,51990,17,031,450300
Census Tract 4601; Cook County; Illinois,47790,17,031,460100
Census Tract 4602; Cook County; Illinois,28487,17,031,460200
Census Tract 4603.01; Cook County; Illinois,31831,17,031,460301
Census Tract 4603.02; Cook County; Illinois,50056,17,031,460302
Census Tract 4604; Cook County; Illinois,68475,17,031,460400
Census Tract 4605; Cook County; Illinois,68207,17,031,460500
